iter	Passed	Remaining
0	150	27855
1	155	14289
2	159	9744
3	164	7465
4	167	6080
5	172	5162
6	176	4510
7	180	4025
8	185	3649
9	189	3337
10	193	3083
11	197	2862
12	201	2675
13	204	2510
14	207	2368
15	210	2238
16	213	2120
17	215	2014
18	218	1918
19	220	1830
20	222	1750
21	225	1681
22	228	1616
23	230	1556
24	233	1501
25	235	1452
26	238	1405
27	241	1364
28	244	1326
29	247	1289
30	251	1255
31	254	1224
32	258	1197
33	262	1173
34	266	1151
35	270	1127
36	275	1107
37	278	1084
38	282	1063
39	285	1042
40	289	1023
41	292	1004
42	296	985
43	300	968
44	303	950
45	307	936
46	311	921
47	315	906
48	318	891
49	322	877
50	326	863
51	329	849
52	333	836
53	336	823
54	340	810
55	343	796
56	346	783
57	348	769
58	351	756
59	354	744
60	358	734
61	362	725
62	366	715
63	371	708
64	376	700
65	380	691
66	383	680
67	386	670
68	389	660
69	392	650
70	394	639
71	397	629
72	399	618
73	402	608
74	404	598
75	406	588
76	408	577
77	409	567
78	411	557
79	413	548
80	416	539
81	418	530
82	421	522
83	423	514
84	426	506
85	428	498
86	431	490
87	433	482
88	435	475
89	438	467
90	440	459
91	442	451
92	444	444
93	446	437
94	448	430
95	451	423
96	455	417
97	458	411
98	461	405
99	463	398
100	466	392
101	468	385
102	470	379
103	472	372
104	474	366
105	476	359
106	478	353
107	481	347
108	483	341
109	486	335
110	488	330
111	491	324
112	493	318
113	495	313
114	498	307
115	500	302
116	503	296
117	506	291
118	510	287
119	513	282
120	516	277
121	519	272
122	522	267
123	525	262
124	528	257
125	531	252
126	533	247
127	535	242
128	538	237
129	540	232
130	542	227
131	544	222
132	546	217
133	548	212
134	549	207
135	551	202
136	553	198
137	555	193
138	557	188
139	558	183
140	560	178
141	561	174
142	563	169
143	564	164
144	566	160
145	567	155
146	569	150
147	570	146
148	571	141
149	573	137
150	574	133
151	575	128
152	577	124
153	578	120
154	579	115
155	580	111
156	582	107
157	583	103
158	584	99
159	586	95
160	587	91
161	588	87
162	590	83
163	591	79
164	592	75
165	593	71
166	595	67
167	597	63
168	598	60
169	600	56
170	601	52
171	602	49
172	604	45
173	605	41
174	606	38
175	608	34
176	609	30
177	610	27
178	612	23
179	613	20
180	615	16
181	616	13
182	618	10
183	619	6
184	620	3
185	622	0
